"cytokine storms"	Concept
(2019-nCoV	Concept
(COVID-19)	Concept
(MERS)-CoV	Concept
(anti-sense viral genome	Concept
(purifying	Concept
,	Concept
-1 PRF	Concept
-human	Concept
0	Concept
0.097	Concept
0.097 (0.438)	Concept
0.1	Concept
0.1 aM	Concept
0.438	Concept
0.5	Concept
0.5%	Concept
0.5% to 0.8%.	Concept
0.8%	Concept
0.9%	Concept
07 March 2020	Concept
1	Concept
1.12%	Concept
1.15	Concept
1.279	Concept
1.36%	Concept
1.41%	Concept
1.5-fold greater	Concept
1.85%	Concept
1.96%	Concept
10	Concept
10 days	Concept
10-20 fold higher affinity	Concept
100%	Concept
100% sensitivity	Concept
1000	Concept
1000 steps	Concept
100ns	Concept
100ns MD	Concept
103	Concept
106 parenchymal staining	Concept
106,893	Concept
1099	Concept
11	Concept
11 days	Concept
113	Concept
116	Concept
12	Concept
130	Concept
130 cities	Concept
133 days	Concept
14 days	Concept
145-289	Concept
145-289 residues	Concept
147 3	Concept
147 3 folds lesser	Concept
148	Concept
149	Concept
158	Concept
158 3D G64S lineages (4/5)	Concept
168-289	Concept
168-289 residues	Concept
18	Concept
18%	Concept
18kD translocator protein	Concept
2	Concept
2 days	Concept
2 μg	Concept
2-7	Concept
2-week	Concept
2.00 kcal/mol	Concept
2.1	Concept
2.1 to 4.2	Concept
2.1%	Concept
2.70%	Concept
20 μg	Concept
20 μg pcMNPs	Concept
20%	Concept
200 μL	Concept
200 μL lysis/binding	Concept
2002 SARS-CoV	Concept
2002/2003	Concept
2003	Concept
2003 SARS-CoV-1	Concept
2014-2016	Concept
2019	Concept
2019-30	Concept
2019-nCoV	Concept
2019-nCoV S-RBD	Concept
2019-nCoV testing	Concept
2019-nCov	Concept
2020	Concept
205	Concept
21.1%	Concept
21/88	Concept
214 3.2 Å	Concept
225 genome length	Concept
226	Concept
23.5%	Concept
23.9%	Concept
23.9% (21/88)	Concept
23000	Concept
24	Concept
268	Concept
276	Concept
276 the genome	Concept
29 other mammals	Concept
29%	Concept
293T	Concept
293T cells	Concept
3 fold	Concept
3 weeks	Concept
3,639	Concept
3.25 ≤ R 0 ≤ 3.4	Concept
3.28	Concept
30	Concept
30-50	Concept
30-50 years old (60.61%)	Concept
309	Concept
309 COVID-19	Concept
30kb	Concept
3600	Concept
38.1%	Concept
3CL	Concept
3CL proteases	Concept
3D	Concept
3D G64S	Concept
3D G64S (0.55 ± 0.03, p=0.005 vs. 3D G64S , t-test)	Concept
3D lung mask	Concept
3D model	Concept
3a protein	Concept
4	Reference
4.2	Concept
4.32%	Concept
4.5.7	Concept
4.9	Concept
4.9 days	Concept
40%	Concept
42-108 46 hpi	Concept
44,672	Concept
44-84 residues	Concept
46%	Concept
48-84 residues	Concept
4X	Concept
