(anti-sense viral genome	is-a	replicative forms
(purifying	is-a	selection
,	is-a	proteins
-1 PRF	has-property	rates
0.097	in-context	first
0.1	in-context	COVID-19
0.1	is-a	growth rate
0.438	in-context	second
0.5%	in-context	threshold
1.15	in-context	copies
1.36%	in-context	Bat CoV
1.36%	in-context	Human SARS
10-20 fold higher affinity	in-context	binds
100% sensitivity	has-property	mNGS
100% sensitivity	in-context	detection
1000	in-context	steps
1000 steps	in-context	GROMACS
1000 steps	in-context	steepest descent
100ns	in-context	MD
103	in-context	areas
103	in-context	countries
103	in-context	territories
106,893	in-context	cases
106,893	in-place	103
1099	in-context	cases
11	is-a	day
113	in-context	patients
116	in-context	patients
12	in-context	residues
130	in-context	cities
130 cities	in-place	China
133 days	same-as	range 126 -147 days
14 days	in-context	infection
145-289	in-context	residues
18	is-a	day
18%	has-property	maximum
18%	in-context	variation
18kD translocator protein	is-a	microglial-targeted radiotracer
18kD translocator protein	is-a	radiotracer
18kD translocator protein	same-as	TSPO
2-7	in-context	days
2.1 to 4.2	in-context	scenarios
2.1%	has-property	pediatric patients
2.1%	in-context	44,672
2.1%	is-a	patients
2.70%	in-context	SARS-COV-2
20%	in-context	allied health workers
2003 SARS-CoV-1	is-a	virus
2019	has-part	S
2019	in-time	December
2019-nCoV	causes	SARS-CoV-2
2019-nCoV	has-part	S-RBD
2019-nCoV	has-part	genome
2019-nCoV	has-part	number
2019-nCoV	has-part	protease
2019-nCoV	has-part	proteome
2019-nCoV	has-part	regions
2019-nCoV	has-property	contagious
2019-nCoV	has-property	genome
2019-nCoV	has-property	sequence
2019-nCoV	has-property	severe
2019-nCoV	has-property	similar
2019-nCoV	has-property	transmitted
2019-nCoV	in-context	receptor-binding domain
2019-nCoV	is-a	Sarbecovirus
2019-nCoV	is-a	coronaviruses
2019-nCoV	same-as	SARS)-CoV-2
2019-nCoV	same-as	coronavirus
2019-nCoV	same-as	severe acute respiratory syndrome
2019-nCoV testing	in-context	cases
21.1%	in-context	births
21.1%	same-as	births
214 3.2 Å	in-context	distance
23.5%	in-context	births
23.5%	same-as	births
23.9%	same-as	21/88
23.9%	same-as	prevalence
23000	in-context	NP RNA copies
23000	in-context	copies
24	has-property	elevation
24	in-context	patients
268	in-context	cities
29%	has-property	households
293T	in-context	cells
3 weeks	in-context	preceding
3,639	in-context	deaths
3,639	in-place	103
3.25 ≤ R 0 ≤ 3.4	in-context	R0 = 1 + r * Tc
3.25 ≤ R 0 ≤ 3.4	in-context	Tc = 7.5
3.28	is-a	reproductive number
30-50	in-context	years old
30kb	in-context	length
3600	in-context	NP RNA copies
3600	in-context	copies
38.1%	has-property	count
38.1%	in-context	patients
3CL	in-context	2019-nCoV
3CL	in-context	SARS-CoV
